domain_name,experiment_name,problem_count,search_elapsed_time,solution_size,expanded_nodes,heuristic_name
Barman-BDI,lmcount-tdg,17,4.41,109.76,25175.00,
Barman-BDI,Novelty-lm-tdg-f-t,17,37.07,114.06,21267.82,
Blocksworld-GTOHP,lmcount-tdg,24,0.28,340.25,1636.29,
Blocksworld-GTOHP,Novelty-lm-tdg-f-t,24,0.72,337.17,1406.71,
Blocksworld-HPDDL,lmcount-tdg,9,7.16,120.00,237360.22,
Blocksworld-HPDDL,Novelty-lm-tdg-f-t,9,16.75,119.78,182917.78,
Childsnack,lmcount-tdg,5,4.15,55.00,20784.20,
Childsnack,Novelty-lm-tdg-f-t,5,4.20,55.00,2618.20,
Depots,lmcount-tdg,24,0.61,87.54,6741.88,
Depots,Novelty-lm-tdg-f-t,24,0.22,87.54,1219.54,
Factories-simple,lmcount-tdg,8,1.19,532.75,47540.25,
Factories-simple,Novelty-lm-tdg-f-t,8,15.51,543.00,427762.12,
Hiking,lmcount-tdg,12,57.21,58.00,1496171.25,
Hiking,Novelty-lm-tdg-f-t,12,76.79,58.00,1496741.25,
Monroe-Fully-Observable,lmcount-tdg,12,29.68,21.00,14824.83,
Monroe-Fully-Observable,Novelty-lm-tdg-f-t,12,30.10,21.50,2910.33,
Monroe-Partially-Observable,lmcount-tdg,5,24.16,9.40,7482.80,
Monroe-Partially-Observable,Novelty-lm-tdg-f-t,5,35.32,12.60,18268.80,
Multiarm-Blocksworld,lmcount-tdg,13,44.99,99.77,2014656.38,
Multiarm-Blocksworld,Novelty-lm-tdg-f-t,13,74.35,98.69,1110331.00,
Robot,lmcount-tdg,10,0.21,15.00,14453.70,
Robot,Novelty-lm-tdg-f-t,10,0.25,15.00,13770.60,
Rover-GTOHP,lmcount-tdg,15,1.00,108.93,1107.60,
Rover-GTOHP,Novelty-lm-tdg-f-t,15,1.44,117.93,2385.93,
Satellite-GTOHP,lmcount-tdg,5,0.11,29.20,496.20,
Satellite-GTOHP,Novelty-lm-tdg-f-t,5,0.19,28.60,523.20,
Snake,lmcount-tdg,3,86.35,36.67,950656.67,
Snake,Novelty-lm-tdg-f-t,3,109.39,36.67,925175.67,
Towers,lmcount-tdg,10,15.88,765.20,720232.10,
Towers,Novelty-lm-tdg-f-t,10,23.67,765.20,720617.60,
Transport,lmcount-tdg,3,0.01,25.33,116.33,
Transport,Novelty-lm-tdg-f-t,3,0.01,28.00,171.67,
Total,,350,21.98,151.64,327735.12,
